측정시간,지역명,사업장명,배출구,암모니아_허용기준,암모니아_측정값,질소산화물_허용기준,질소산화물_측정값,황산화물_허용기준,황산화물_측정값,먼지_허용기준,먼지_측정값,불화수소_허용기준,불화수소_측정값,염화수소_허용기준,염화수소_측정값,일산화탄소_허용기준,일산화탄소_측정값
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,1,NaN,NaN,140,77.95,135.1,94.23,18.2,기기점검,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,123,NaN,NaN,140,90.17,140,33.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,132,NaN,NaN,150,50.83,140,11.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,15,NaN,NaN,105,90.13,140,1.17,NaN,NaN,NaN,NaN,5,0.80,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,153,NaN,NaN,150,97.55,140,89.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,154,NaN,NaN,150,96.62,140,84.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,155,NaN,NaN,150,135.74,140,78.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,156,NaN,NaN,150,131.51,140,79.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,16,NaN,NaN,105,18.19,140,1.16,NaN,NaN,NaN,NaN,5,0.57,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,17,NaN,NaN,150,97.12,140,0.01,NaN,NaN,NaN,NaN,5,0.10,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,18,NaN,NaN,105,57.94,140,0.87,NaN,NaN,NaN,NaN,5,2.01,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,2,NaN,NaN,140,87.85,135.1,101.65,18.2,4.77,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,20,NaN,NaN,150,97.86,140,0.01,NaN,NaN,NaN,NaN,5,1.64,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,24,NaN,NaN,35,18.05,14,0.42,10.5,0.55,NaN,NaN,8,0.23,50,0.18
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,25,NaN,NaN,21,11.42,42,24.30,14,1.51,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,26,NaN,NaN,21,7.58,42,23.67,14,0.34,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,27,NaN,NaN,21,12.10,42,24.01,14,1.78,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,28,NaN,NaN,21,11.39,42,19.16,14,1.66,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,29,NaN,NaN,28,5.87,42,18.14,14,2.71,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,3,NaN,NaN,140,78.73,135.1,95.70,18.2,5.40,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,30,NaN,NaN,21,1.76,42,19.50,14,1.97,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,31,NaN,NaN,28,12.31,42,16.06,14,1.56,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,32,NaN,NaN,21,3.33,42,13.47,14,0.19,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,45,NaN,NaN,150,106.34,140,0.00,NaN,NaN,NaN,NaN,5,0.04,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,47,NaN,NaN,105,38.40,140,1.09,NaN,NaN,NaN,NaN,5,3.53,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,49,NaN,NaN,70,51.49,63,48.68,18.2,6.11,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,51,NaN,NaN,105,44.80,140,0.08,7,0.39,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,52,NaN,NaN,105,40.32,NaN,NaN,7,0.39,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,53,NaN,NaN,17.5,11.90,14,9.59,7,32.64,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,54,NaN,NaN,17.5,12.75,14,8.64,7,1.15,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,92,NaN,NaN,80.5,54.18,59.5,26.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:30,전라남도,㈜포스코 광양제철소,93,NaN,NaN,80.5,47.59,59.5,26.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
