mesure_dt,area_nm,fact_manage_nm,stack_code,nh3_exhst_perm_stdr_value,nh3_mesure_value,nox_exhst_perm_stdr_value,nox_mesure_value,sox_exhst_perm_stdr_value,sox_mesure_value,tsp_exhst_perm_stdr_value,tsp_mesure_value,hf_exhst_perm_stdr_value,hf_mesure_value,hcl_exhst_perm_stdr_value,hcl_mesure_value,co_exhst_perm_stdr_value,co_mesure_value
2023-01-16 15:00,서울특별시,노원자원회수시설,1,NaN,NaN,42.5,19.32,16,0,12,0.93,NaN,NaN,12,0.48,45,3.77
2023-01-16 15:00,서울특별시,노원자원회수시설,2,NaN,NaN,42.5,16.95,16,0,12,1.06,NaN,NaN,12,0.53,45,2.98
