측정시간,지역명,사업장명,배출구,암모니아_허용기준,암모니아_측정값,질소산화물_허용기준,질소산화물_측정값,황산화물_허용기준,황산화물_측정값,먼지_허용기준,먼지_측정값,불화수소_허용기준,불화수소_측정값,염화수소_허용기준,염화수소_측정값,일산화탄소_허용기준,일산화탄소_측정값
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,1,NaN,NaN,140,73.29,135.1,79.69,18.2,3.07,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,123,NaN,NaN,140,76.20,140,25.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,132,NaN,NaN,150,49.41,140,10.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,15,NaN,NaN,105,90.31,140,1.28,NaN,NaN,NaN,NaN,5,0.83,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,153,NaN,NaN,150,95.04,140,84.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,154,NaN,NaN,150,93.64,140,81.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,155,NaN,NaN,150,135.17,140,75.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,156,NaN,NaN,150,129.37,140,77.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,16,NaN,NaN,105,18.97,140,1.13,NaN,NaN,NaN,NaN,5,0.58,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,17,NaN,NaN,150,98.44,140,0.02,NaN,NaN,NaN,NaN,5,0.20,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,18,NaN,NaN,105,56.37,140,0.89,NaN,NaN,NaN,NaN,5,2.14,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,2,NaN,NaN,140,83.76,135.1,101.73,18.2,4.03,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,20,NaN,NaN,150,97.70,140,0.05,NaN,NaN,NaN,NaN,5,1.59,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,24,NaN,NaN,35,18.22,14,0.53,10.5,0.56,NaN,NaN,8,0.22,50,0.19
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,25,NaN,NaN,21,11.78,42,28.19,14,1.46,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,26,NaN,NaN,21,8.90,42,25.99,14,0.56,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,27,NaN,NaN,21,11.49,42,24.13,14,1.71,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,28,NaN,NaN,21,10.95,42,19.57,14,1.67,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,29,NaN,NaN,28,5.84,42,18.96,14,2.60,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,3,NaN,NaN,140,80.19,135.1,95.55,18.2,5.21,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,30,NaN,NaN,21,1.48,42,19.93,14,1.78,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,31,NaN,NaN,28,11.01,42,18.84,14,1.41,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,32,NaN,NaN,21,5.04,42,14.40,14,0.07,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,45,NaN,NaN,150,106.33,140,0.00,NaN,NaN,NaN,NaN,5,0.04,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,47,NaN,NaN,105,39.50,140,1.10,NaN,NaN,NaN,NaN,5,3.53,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,49,NaN,NaN,70,47.12,63,40.21,18.2,6.09,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,51,NaN,NaN,105,39.22,140,0.09,7,0.21,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,52,NaN,NaN,105,34.10,NaN,NaN,7,0.54,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,53,NaN,NaN,17.5,11.69,14,9.82,7,32.69,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,54,NaN,NaN,17.5,12.55,14,8.86,7,1.14,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,92,NaN,NaN,80.5,53.99,59.5,26.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-07-14 17:00,전라남도,㈜포스코 광양제철소,93,NaN,NaN,80.5,47.51,59.5,26.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
